1600,139
64000,1
57600,1
1800,71
61000,1
57800,1
58700,1
624900,1
2000,16
1300,311
2200,2
58200,1
1500,113
2400,2
61600,1
58400,1
1700,90
57700,1
3300,1
2600,1
79400,1
1900,37
1200,25
58800,1
2100,13
1400,165
60600,1
2300,1




6400,51
12800,1
10500,1
7300,23
8200,3
62600,1
5900,65
6800,38
10000,2
7700,10
5400,20
11800,1
6300,64
7200,17
8100,6
5800,62
9000,1
6700,35
64300,1
7600,14
5300,4
8500,2
9400,1
6200,52
7100,28
8000,3
11200,1
68800,1
5700,72
8900,1
6600,35
7500,14
61900,1
8400,2
6100,49
63700,1
7000,28
7900,6
62300,1
5600,62
8800,1
6500,51
9700,1
7400,15
8300,3
6000,48
9200,1
6900,32
67700,1
7800,5
5500,60
8700,2
